sid1,sid2,route,mins
382,3545,a,0.5
395,4102,a,2.0
616,2013,b,2.5
616,2014,b,2.75
965,1676,b,1.0
965,3577,b,0.8833333333333333
965,5020,b,0.7
968,4713,b,1.1333333333333333
969,2599,b,0.1333333333333333
969,3048,b,0.6333333333333333
970,3246,b,1.25
982,3084,b,0.3833333333333333
982,4289,b,0.4416666666666666
983,4139,b,0.3833333333333333
984,2600,b,0.1333333333333333
984,3574,b,1.6333333333333333
985,968,b,1.0
986,3083,b,0.1333333333333333
986,4139,b,0.8833333333333333
987,965,b,0.5
987,1676,b,2.625
987,2732,b,2.1333333333333333
1065,1347,b,3.75
1066,1347,b,3.75
1066,3554,b,0.1333333333333333
1068,1923,b,1.25
1261,2380,b,5.633333333333334
1262,3765,b,0.3833333333333333
1334,4006,b,0.6333333333333333
1335,4091,b,2.5
1336,1338,b,1.25
1336,1352,b,0.75
1336,4784,b,3.3833333333333333
1338,1335,b,1.75
1338,1351,b,1.25
1340,3556,b,3.3833333333333333
1340,3560,b,2.8833333333333333
1341,1343,b,1.5
1341,1710,b,7.0
1343,2667,b,0.6333333333333333
1343,4246,b,0.3833333333333333
1347,1341,b,0.75
1347,5227,b,0.1
1348,1349,b,1.5
1349,1340,b,4.5
1349,1716,b,2.0
1350,1351,b,1.0
1351,1352,b,1.5
1351,2660,b,6.133333333333334
1351,3540,b,0.1333333333333333
1351,3793,b,0.1
1351,4090,b,4.75
1351,5609,b,0.1
1352,1712,b,2.5
1352,3184,b,0.1333333333333333
1352,4002,b,1.6333333333333333
1352,4280,b,0.8833333333333333
1354,3066,b,1.1333333333333333
1355,1336,b,1.25
1615,3208,b,0.5
1615,3209,b,1.25
1615,5020,b,1.2
1643,965,b,2.0
1643,1646,b,1.0
1643,3097,b,1.1333333333333333
1645,3256,b,2.25
1646,3910,b,0.1
1676,1679,b,1.25
1676,3184,b,2.5
1676,3543,b,0.1333333333333333
1676,3557,b,5.133333333333334
1679,3256,b,0.75
1679,3906,b,0.1
1707,1709,b,1.75
1709,1351,b,6.0
1710,1338,b,1.0
1712,1714,b,1.25
1714,3058,b,0.8833333333333333
1716,2857,b,1.8833333333333333
1718,1720,b,2.0
1720,1707,b,1.0
1720,2450,b,1.1333333333333333
1720,3791,b,2.85
1923,2654,b,3.5
1923,3372,b,2.0
1923,3551,b,0.1333333333333333
2013,3222,b,2.25
2013,3223,b,3.25
2014,3081,b,0.1333333333333333
2014,3217,b,5.5
2014,3223,b,1.25
2015,2449,b,0.8833333333333333
2196,2851,b,1.8666666666666667
2230,3538,a,2.25
2234,3529,a,1.25
2387,2230,a,2.0
2538,4139,a,0.75
2542,2544,c,1.5
2542,4139,a,0.0
2544,2545,c,0.75
2545,4588,c,2.816666666666667
2584,1336,a,1.8666666666666667
2585,4590,a,3.75
2592,1584,c,0.25
2599,984,a,1.1166666666666667
2600,373,a,2.433333333333333
2600,2601,a,4.25
2600,2602,a,1.25
2601,987,a,0.8666666666666667
2601,2604,a,8.0
2602,2614,a,3.5
2604,2605,a,1.5
2605,2608,a,2.0
2607,4120,a,2.0
2608,1671,a,6.933333333333334
2613,3087,a,0.0166666666666666
2614,3564,a,18.5
2614,4253,a,0.1333333333333333
2617,2767,a,2.2666666666666666
2618,2619,a,1.0
2618,5020,a,30.75
2619,1643,a,1.1333333333333333
2619,3446,a,0.1166666666666666
2622,2850,a,3.0
2623,985,a,3.883333333333333
2623,2600,a,0.75
2654,3443,b,0.1333333333333333
2654,4223,b,0.3833333333333333
2655,1068,b,1.5
2669,2670,b,1.0
2670,1065,b,1.5
2670,5608,b,0.85
2763,2386,a,2.5
2824,2827,a,3.0
2827,2833,a,6.5
2830,3237,a,2.1166666666666667
2833,2023,a,1.25
2833,2623,a,6.5
2837,395,a,2.0
2838,2848,a,24.25
2838,4489,a,1.933333333333333
2838,4670,a,0.9333333333333332
2843,4099,a,1.0
2846,4155,a,0.1166666666666666
2848,2849,a,1.5
2848,4139,a,11.933333333333334
2849,3419,a,0.1166666666666666
2850,2653,a,0.75
2851,3203,a,0.1333333333333333
2852,4155,a,0.8666666666666667
2854,3235,a,1.3833333333333333
2855,3230,a,3.883333333333333
2857,1720,a,1.1166666666666667
2931,2838,a,3.5
2931,3418,a,0.1166666666666666
2933,2820,a,2.0
2933,3361,a,0.1166666666666666
2934,2933,a,1.75
2934,3364,a,1.8666666666666667
3184,2223,a,1.25
3184,2607,b,1.8833333333333333
3184,4006,a,0.75
3184,5020,b,1.2
3193,3244,b,0.75
3195,3241,b,2.25
3200,3241,b,0.75
3201,3202,b,1.0
3202,3126,b,1.1
3203,3205,b,3.25
3203,5020,b,1.2
3204,3205,b,1.0
3205,2854,b,1.1166666666666667
3205,3236,b,2.0
3208,3209,b,0.75
3209,2855,b,0.1166666666666666
3209,3133,b,1.1
3212,3231,b,1.0
3212,4270,b,2.75
3213,3717,b,0.1333333333333333
3214,3212,b,2.0
3215,3771,b,1.1333333333333333
3217,1262,b,2.5
3217,4100,b,0.1333333333333333
3218,3224,b,1.0
3220,3222,b,0.5
